File,ID,Sample_event,Sample,Replicate,DWTP,City,Material,Swab,Event,Service,Diameter_in,Age_yr,Month,Source,Primary,Secondary,Disinfectant,Inhibitor,Other,Log_copies_16S
WK2-Fe-3,WK_cFe_smth_event2_rep3,WK_cFe_bio_event2,WK_cFe_bio,3,WK,Waukesha,cast iron,smooth,2,lateral,0.75,106,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK2-LP-19-B,WK_Pb_smth_event2_rep1,WK_Pb_bio_event2,WK_Pb_bio,1,WK,Waukesha,lead,smooth,2,lateral,0.75,106,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK2-LP-20-B,WK_Pb_smth_event2_rep2,WK_Pb_bio_event2,WK_Pb_bio,2,WK,Waukesha,lead,smooth,2,lateral,0.75,106,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK2-LP-21-B,WK_Pb_smth_event2_rep3,WK_Pb_bio_event2,WK_Pb_bio,3,WK,Waukesha,lead,smooth,2,lateral,0.75,106,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-B3,WK_cFe_smth_event3_rep1,WK_cFe_bio_event3,WK_cFe_bio,1,WK,Waukesha,cast iron,smooth,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-B5,WK_cFe_smth_event3_rep3,WK_cFe_bio_event3,WK_cFe_bio,3,WK,Waukesha,cast iron,smooth,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-Tub-4,WK_cFe_tub_event3_rep1,WK_cFe_tub_event3,WK_cFe_tub,1,WK,Waukesha,cast iron,tubercle,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-Tub-6,WK_cFe_tub_event3_rep2,WK_cFe_tub_event3,WK_cFe_tub,2,WK,Waukesha,cast iron,tubercle,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-Tub-7,WK_cFe_tub_event3_rep3,WK_cFe_tub_event3,WK_cFe_tub,3,WK,Waukesha,cast iron,tubercle,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-UT-1,WK_cFe_undertub_event3_rep1,WK_cFe_undertub_event3,WK_cFe_undertub,1,WK,Waukesha,cast iron,under tubercle,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-UT-2,WK_cFe_undertub_event3_rep2,WK_cFe_undertub_event3,WK_cFe_undertub,2,WK,Waukesha,cast iron,under tubercle,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK3-UT-3,WK_cFe_undertub_event3_rep3,WK_cFe_undertub_event3,WK_cFe_undertub,3,WK,Waukesha,cast iron,under tubercle,3,lateral,2,73,September,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
